element_id,city,city_name,elem_no,w,h,xOffset,yOffset,life,special,attrs,img_editor,png_client
1113,1,desert,113,1,1,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/desert/elem113_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem113_stand.png
1114,1,desert,114,8,2,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/desert/elem114_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem114_stand.png
1115,1,desert,115,1,4,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/desert/elem115_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem115_stand.png
1116,1,desert,116,1,1,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/desert/elem116_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem116_stand.png
1117,1,desert,117,2,1,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/desert/elem117_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem117_stand.png
1118,1,desert,118,2,1,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/desert/elem118_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem118_stand.png
1119,1,desert,119,2,4,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/desert/elem119_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem119_stand.png
1120,1,desert,120,11,2,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/desert/elem120_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem120_stand.png
1121,1,desert,121,6,2,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/desert/elem121_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem121_stand.png
1122,1,desert,122,2,3,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/desert/elem122_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem122_stand.png
1123,1,desert,123,7,2,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/desert/elem123_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem123_stand.png
1124,1,desert,124,1,3,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/desert/elem124_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem124_stand.png
1125,1,desert,125,1,3,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/desert/elem125_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem125_stand.png
1126,1,desert,126,14,2,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/desert/elem126_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem126_stand.png
1127,1,desert,127,1,6,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/desert/elem127_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem127_stand.png
1128,1,desert,128,6,2,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/desert/elem128_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem128_stand.png
1129,1,desert,129,1,2,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/desert/elem129_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem129_stand.png
1130,1,desert,130,2,4,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/desert/elem130_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem130_stand.png
1131,1,desert,131,2,2,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/desert/elem131_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem131_stand.png
1132,1,desert,132,1,6,0,-1,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/desert/elem132_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem132_stand.png
1133,1,desert,133,2,2,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/desert/elem133_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem133_stand.png
1134,1,desert,134,8,2,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/desert/elem134_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem134_stand.png
1135,1,desert,135,11,2,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/desert/elem135_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem135_stand.png
1136,1,desert,136,11,2,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/desert/elem136_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem136_stand.png
1137,1,desert,137,7,2,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/desert/elem137_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem137_stand.png
1138,1,desert,138,1,1,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/desert/elem138_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem138_stand.png
1139,1,desert,139,1,3,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/desert/elem139_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem139_stand.png
1140,1,desert,140,1,2,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/desert/elem140_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem140_stand.png
1141,1,desert,141,11,2,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/desert/elem141_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem141_stand.png
1142,1,desert,142,1,1,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/desert/elem142_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem142_stand.png
1143,1,desert,143,5,2,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/desert/elem143_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem143_stand.png
2001,2,snow,1,1,1,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/snow/elem1_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem1_stand.png
2002,2,snow,2,1,1,3,12,1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/snow/elem2_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem2_stand.png
2003,2,snow,3,1,1,2,5,1,0x2,0,qqt/qqt_map_editor_fin-main/mapElem/snow/elem3_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem3_stand.png
2004,2,snow,4,1,1,4,25,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/snow/elem4_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem4_stand.png
2005,2,snow,5,1,1,4,25,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/snow/elem5_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem5_stand.png
2006,2,snow,6,1,1,3,19,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/snow/elem6_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem6_stand.png
2007,2,snow,7,1,1,0,25,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/snow/elem7_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem7_stand.png
2008,2,snow,8,4,2,4,36,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/snow/elem8_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem8_stand.png
2011,2,snow,11,1,1,4,25,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/snow/elem11_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem11_stand.png
2012,2,snow,12,1,1,2,5,1,0x2,0,qqt/qqt_map_editor_fin-main/mapElem/snow/elem12_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem12_stand.png
2013,2,snow,13,1,1,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/snow/elem13_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem13_stand.png
2014,2,snow,14,4,2,3,37,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/snow/elem14_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem14_stand.png
2015,2,snow,15,1,1,2,11,1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/snow/elem15_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem15_stand.png
2016,2,snow,16,1,1,0,23,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/snow/elem16_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem16_stand.png
2017,2,snow,17,1,1,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/snow/elem17_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem17_stand.png
2018,2,snow,18,1,1,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/snow/elem18_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem18_stand.png
2019,2,snow,19,1,1,4,27,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/snow/elem19_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem19_stand.png
2020,2,snow,20,2,2,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/snow/elem20_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem20_stand.png
2021,2,snow,21,2,2,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/snow/elem21_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem21_stand.png
2022,2,snow,22,2,2,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/snow/elem22_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem22_stand.png
2023,2,snow,23,2,2,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/snow/elem23_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem23_stand.png
2024,2,snow,24,1,1,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/snow/elem24_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem24_stand.png
2025,2,snow,25,1,1,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/snow/elem25_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem25_stand.png
2026,2,snow,26,2,1,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/snow/elem26_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem26_stand.png
2027,2,snow,27,1,2,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/snow/elem27_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem27_stand.png
2028,2,snow,28,1,1,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/snow/elem28_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem28_stand.png
2029,2,snow,29,1,1,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/snow/elem29_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem29_stand.png
2030,2,snow,30,1,1,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/snow/elem30_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem30_stand.png
2031,2,snow,31,1,1,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/snow/elem31_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem31_stand.png
2032,2,snow,32,1,1,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/snow/elem32_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem32_stand.png
2033,2,snow,33,1,1,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/snow/elem33_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem33_stand.png
2034,2,snow,34,1,1,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/snow/elem34_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem34_stand.png
2035,2,snow,35,1,1,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/snow/elem35_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem35_stand.png
2036,2,snow,36,1,1,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/snow/elem36_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem36_stand.png
2037,2,snow,37,1,1,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/snow/elem37_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem37_stand.png
2038,2,snow,38,2,2,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/snow/elem38_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem38_stand.png
2039,2,snow,39,1,1,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/snow/elem39_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem39_stand.png
2040,2,snow,40,1,1,1,5,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/snow/elem40_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem40_stand.png
2041,2,snow,41,1,1,0,5,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/snow/elem41_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem41_stand.png
2042,2,snow,42,2,2,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/snow/elem42_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem42_stand.png
2043,2,snow,43,2,2,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/snow/elem43_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem43_stand.png
2044,2,snow,44,2,2,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/snow/elem44_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem44_stand.png
2045,2,snow,45,2,2,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/snow/elem45_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem45_stand.png
2046,2,snow,46,1,1,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/snow/elem46_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem46_stand.png
2047,2,snow,47,1,1,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/snow/elem47_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem47_stand.png
2048,2,snow,48,2,1,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/snow/elem48_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem48_stand.png
2049,2,snow,49,1,2,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/snow/elem49_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/snow/elem49_stand.png
3001,3,town,1,1,1,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/town/elem1_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem1_stand.png
3002,3,town,2,1,1,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/town/elem2_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem2_stand.png
3003,3,town,3,1,1,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/town/elem3_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem3_stand.png
3004,3,town,4,1,1,2,13,1,0x2,0,qqt/qqt_map_editor_fin-main/mapElem/town/elem4_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem4_stand.png
3005,3,town,5,1,1,2,34,-1,0x0,5397,qqt/qqt_map_editor_fin-main/mapElem/town/elem5_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem5_stand.png
3006,3,town,6,3,2,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/town/elem6_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem6_stand.png
3007,3,town,7,1,1,3,17,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/town/elem7_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem7_stand.png
3008,3,town,8,1,1,3,17,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/town/elem8_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem8_stand.png
3009,3,town,9,1,1,3,18,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/town/elem9_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem9_stand.png
3010,3,town,10,1,1,2,13,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/town/elem10_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem10_stand.png
3011,3,town,11,1,1,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/town/elem11_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem11_stand.png
3012,3,town,12,1,1,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/town/elem12_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem12_stand.png
3013,3,town,13,1,1,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/town/elem13_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem13_stand.png
3014,3,town,14,1,1,3,10,1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/town/elem14_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem14_stand.png
3015,3,town,15,1,1,2,10,1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/town/elem15_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem15_stand.png
3017,3,town,17,1,1,2,10,1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/town/elem17_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem17_stand.png
3018,3,town,18,1,1,2,10,1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/town/elem18_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem18_stand.png
3019,3,town,19,4,2,0,30,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/town/elem19_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem19_stand.png
3020,3,town,20,1,1,0,14,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/town/elem20_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem20_stand.png
3022,3,town,22,1,1,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/town/elem22_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem22_stand.png
3023,3,town,23,1,1,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/town/elem23_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem23_stand.png
3024,3,town,24,1,1,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/town/elem24_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem24_stand.png
3025,3,town,25,1,1,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/town/elem25_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem25_stand.png
3026,3,town,26,1,1,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/town/elem26_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem26_stand.png
3050,3,town,50,1,1,1,60,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/town/elem50_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem50_stand.gif
3051,3,town,51,1,1,-1,30,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/town/elem51_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem51_stand.gif
3053,3,town,53,1,1,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/town/elem53_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem53_stand.png
3054,3,town,54,1,1,2,12,1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/town/elem54_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem54_stand.png
3055,3,town,55,1,1,3,12,1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/town/elem55_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem55_stand.png
3056,3,town,56,1,1,3,21,1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/town/elem56_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem56_stand.png
3057,3,town,57,1,1,-2,29,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/town/elem57_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem57_stand.png
3058,3,town,58,15,3,0,22,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/town/elem58_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem58_stand.png
3059,3,town,59,1,1,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/town/elem59_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem59_stand.png
3060,3,town,60,1,1,21,51,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/town/elem60_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem60_stand.png
3061,3,town,61,1,1,2,51,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/town/elem61_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem61_stand.png
3120,3,town,120,1,2,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/town/elem120_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem120_stand.png
3121,3,town,121,1,2,0,0,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/town/elem121_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem121_stand.png
3122,3,town,122,1,2,0,0,-1,0x0,5,qqt/qqt_map_editor_fin-main/mapElem/town/elem122_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/town/elem122_stand.png
4001,4,mine,1,1,1,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/mine/elem1_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/mine/elem1_stand.png
4002,4,mine,2,1,1,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/mine/elem2_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/mine/elem2_stand.png
4003,4,mine,3,1,1,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/mine/elem3_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/mine/elem3_stand.png
