file,source,map_name,game_mode,qqt_id,h,w,n_players,wall,brick,overhead,pushable,crate_rate,crate_coverage,music,background,sprites,init_bombs,init_blast,init_speed
level_0046.pt,field19_8.map,传统炸弹人,普通(normal),119,13,15,8,42,103,0,0,0.457698,1.0,res/wall/野外/field.ogg,res/wall/野外/yw.PNG,0,2,2,1.3
level_0047.pt,field20_8.map,QQ森林,普通(normal),120,13,15,8,13,87,12,0,0.541872,1.0,res/wall/野外/field.ogg,res/wall/野外/yw.PNG,0,2,2,1.3
level_0048.pt,field21_8.map,迷宫,普通(normal),121,13,15,4,18,79,36,0,0.596745,1.0,res/wall/野外/field.ogg,res/wall/野外/yw.PNG,0,2,2,1.3
level_0049.pt,field22_8.map,林中小屋,普通(normal),122,13,15,8,31,112,20,0,0.420918,1.0,res/wall/野外/field.ogg,res/wall/野外/yw.PNG,0,2,2,1.3
level_0050.pt,field23_8.map,野外(精典),普通(normal),123,13,15,8,24,81,44,0,0.582011,1.0,res/wall/野外/field.ogg,res/wall/野外/yw.PNG,0,2,2,1.3
level_0051.pt,field24_4.map,鸟语花香,普通(normal),124,13,15,4,12,59,40,0,0.799031,1.0,res/wall/野外/field.ogg,res/wall/野外/yw.PNG,0,2,2,1.3
level_0052.pt,field25_4.map,野外迷宫,普通(normal),125,13,15,4,4,96,74,0,0.491071,1.0,res/wall/野外/field.ogg,res/wall/野外/yw.PNG,0,2,2,1.3
level_0053.pt,field26_4.map,野外的风车,普通(normal),126,13,15,4,10,63,50,0,0.748299,1.0,res/wall/野外/field.ogg,res/wall/野外/yw.PNG,0,2,2,1.3
level_0054.pt,field27_8.map,年年有鱼,普通(normal),127,13,15,8,6,92,73,0,0.512422,1.0,res/wall/野外/field.ogg,res/wall/野外/yw.PNG,0,2,2,1.3
level_0055.pt,field28_4.map,士兵突击,普通(normal),128,13,15,4,5,112,44,0,0.420918,1.0,res/wall/野外/field.ogg,res/wall/野外/yw.PNG,0,2,2,1.3
level_0056.pt,match01_2.map,比武01/(无变身),比武(match),1011,13,15,2,91,80,0,0,0.441964,1.0,res/wall/比武/M15.OGG,res/wall/比武/bw.png,0,3,3,1.3
level_0057.pt,match02_2.map,比武02,比武(match),1002,13,15,2,91,62,0,0,0.570276,1.0,res/wall/比武/M15.OGG,res/wall/比武/bw.png,0,3,3,1.3
level_0058.pt,match03_4.map,比武03,比武(match),1003,13,15,4,91,80,0,0,0.441964,1.0,res/wall/比武/M15.OGG,res/wall/比武/bw.png,0,3,3,1.3
level_0059.pt,match04_4.map,比武04,比武(match),1004,13,15,4,91,72,0,0,0.491071,1.0,res/wall/比武/M15.OGG,res/wall/比武/bw.png,0,3,3,1.3
level_0060.pt,match05_6.map,比武05,比武(match),1005,13,15,6,91,62,0,0,0.570276,1.0,res/wall/比武/M15.OGG,res/wall/比武/bw.png,0,3,3,1.3
level_0061.pt,match06_6.map,比武06,比武(match),1006,13,15,6,97,72,0,0,0.491071,1.0,res/wall/比武/M15.OGG,res/wall/比武/bw.png,0,3,3,1.3
level_0062.pt,match07_8.map,比武07,比武(match),1007,13,15,8,93,56,0,0,0.631378,1.0,res/wall/比武/M15.OGG,res/wall/比武/bw.png,0,3,3,1.3
level_0063.pt,match08_8.map,比武08,比武(match),1008,13,15,8,95,42,0,0,0.841837,1.0,res/wall/比武/M15.OGG,res/wall/比武/bw.png,0,3,3,1.3
level_0064.pt,match09_8.map,比武09/(无变身),比武(match),1012,13,15,8,93,70,0,0,0.505102,1.0,res/wall/比武/M15.OGG,res/wall/比武/bw.png,0,3,3,1.3
level_0065.pt,match10_8.map,比武10,比武(match),1010,13,15,8,98,48,0,0,0.736607,1.0,res/wall/比武/M15.OGG,res/wall/比武/bw.png,0,3,3,1.3
level_0066.pt,match11_8.map,比武11,比武(match),1013,13,15,8,96,55,0,0,0.642857,1.0,res/wall/比武/M15.OGG,res/wall/比武/bw.png,0,3,3,1.3
level_0067.pt,match12_8.map,比武12,比武(match),1014,13,15,8,93,42,0,0,0.841837,1.0,res/wall/比武/M15.OGG,res/wall/比武/bw.png,0,3,3,1.3
level_0068.pt,match13_8.map,比武13,比武(match),1015,13,15,8,97,52,0,0,0.679945,1.0,res/wall/比武/M15.OGG,res/wall/比武/bw.png,0,3,3,1.3
level_0069.pt,match14_6.map,比武14,比武(match),1016,13,15,8,109,50,0,0,0.707143,1.0,res/wall/比武/M15.OGG,res/wall/比武/bw.png,0,3,3,1.3
level_0070.pt,match15_6.map,比武15,比武(match),1017,13,15,8,97,60,0,0,0.589286,1.0,res/wall/比武/M15.OGG,res/wall/比武/bw.png,0,3,3,1.3
level_0071.pt,match16_8.map,比武16,比武(match),1018,13,15,8,97,30,0,0,1.0,0.848485,res/wall/比武/M15.OGG,res/wall/比武/bw.png,0,3,3,1.3
level_0072.pt,match17_8.map,比武17,比武(match),1019,13,15,8,97,62,0,0,0.570276,1.0,res/wall/比武/M15.OGG,res/wall/比武/bw.png,0,3,3,1.3
level_0073.pt,match18_8.map,比武18,比武(match),1020,13,15,8,99,46,0,0,0.768634,1.0,res/wall/比武/M15.OGG,res/wall/比武/bw.png,0,3,3,1.3
level_0074.pt,match19_6.map,隧道比武,比武(match),1021,13,15,6,8,82,0,0,0.431185,1.0,res/wall/比武/M15.OGG,res/wall/比武/bw.png,0,3,3,1.3
level_0075.pt,match20_4.map,太极,比武(match),1022,13,15,4,91,76,0,0,0.465226,1.0,res/wall/比武/M15.OGG,res/wall/比武/bw.png,0,3,3,1.3
level_0076.pt,match21_4.map,新的开始!新的决斗!,比武(match),1023,13,15,4,91,48,0,0,0.736607,1.0,res/wall/比武/M15.OGG,res/wall/比武/bw.png,0,3,3,1.3
level_0077.pt,match22_4.map,皇家比武场,比武(match),1024,13,15,4,126,34,0,0,1.0,0.961616,res/wall/比武/M15.OGG,res/wall/比武/bw.png,0,3,3,1.3
level_0078.pt,match23_8.map,比武23,比武(match),1025,13,15,8,95,68,0,0,0.519958,1.0,res/wall/比武/M15.OGG,res/wall/比武/bw.png,0,3,3,1.3
level_0079.pt,match24_8.map,武林高手,比武(match),1026,13,15,8,99,54,0,0,0.654762,1.0,res/wall/比武/M15.OGG,res/wall/比武/bw.png,0,3,3,1.3
level_0080.pt,mine01_4.map,矿洞01,普通(normal),401,13,15,4,16,59,0,0,0.799031,1.0,res/wall/矿洞/mine.ogg,res/wall/矿洞/kd.png,0,2,2,1.3
level_0081.pt,mine02_4.map,矿洞02,普通(normal),402,13,15,4,1,79,0,0,0.596745,1.0,res/wall/矿洞/mine.ogg,res/wall/矿洞/kd.png,0,2,2,1.3
level_0082.pt,mine03_4.map,矿洞03,普通(normal),403,13,15,4,22,54,0,0,0.873016,1.0,res/wall/矿洞/mine.ogg,res/wall/矿洞/kd.png,0,2,2,1.3
level_0083.pt,mine04_8.map,矿洞04,普通(normal),404,13,15,8,24,111,0,0,0.42471,1.0,res/wall/矿洞/mine.ogg,res/wall/矿洞/kd.png,0,2,2,1.3
level_0084.pt,mine05_8.map,矿洞05,普通(normal),405,13,15,8,28,91,0,0,0.518053,1.0,res/wall/矿洞/mine.ogg,res/wall/矿洞/kd.png,0,2,2,1.3
level_0085.pt,mine06_8.map,矿洞06,普通(normal),406,13,15,8,1,60,0,0,0.785714,1.0,res/wall/矿洞/mine.ogg,res/wall/矿洞/kd.png,0,2,2,1.3
level_0086.pt,mine07_8.map,矿洞07,普通(normal),407,13,15,8,37,79,0,0,0.596745,1.0,res/wall/矿洞/mine.ogg,res/wall/矿洞/kd.png,0,2,2,1.3
level_0087.pt,mine08_8.map,矿洞08,普通(normal),408,13,15,8,21,63,0,0,0.748299,1.0,res/wall/矿洞/mine.ogg,res/wall/矿洞/kd.png,0,2,2,1.3
level_0088.pt,mine09_8.map,矿洞09,普通(normal),409,13,15,8,35,72,0,0,0.654762,1.0,res/wall/矿洞/mine.ogg,res/wall/矿洞/kd.png,0,2,2,1.3
level_0089.pt,mine10_4.map,矿洞10,普通(normal),410,13,15,4,3,64,0,0,0.736607,1.0,res/wall/矿洞/mine.ogg,res/wall/矿洞/kd.png,0,2,2,1.3
level_0090.pt,mine11_8.map,矿洞11,普通(normal),411,13,15,8,12,62,0,0,0.760369,1.0,res/wall/矿洞/mine.ogg,res/wall/矿洞/kd.png,0,2,2,1.3
level_0091.pt,mine12_8.map,矿洞12,普通(normal),412,13,15,8,1,81,0,0,0.582011,1.0,res/wall/矿洞/mine.ogg,res/wall/矿洞/kd.png,0,2,2,1.3
level_0092.pt,mine13_8.map,矿洞13,普通(normal),413,13,15,8,23,109,0,0,0.432503,1.0,res/wall/矿洞/mine.ogg,res/wall/矿洞/kd.png,0,2,2,1.3
level_0093.pt,mine14_8.map,矿洞14,普通(normal),414,13,15,8,34,87,0,0,0.541872,1.0,res/wall/矿洞/mine.ogg,res/wall/矿洞/kd.png,0,2,2,1.3
level_0094.pt,mine15_8.map,矿洞15,普通(normal),415,13,15,8,16,112,0,0,0.420918,1.0,res/wall/矿洞/mine.ogg,res/wall/矿洞/kd.png,0,2,2,1.3
level_0095.pt,mine16_4.map,无聊系列之6矿洞,普通(normal),416,13,15,4,24,66,0,0,0.714286,1.0,res/wall/矿洞/mine.ogg,res/wall/矿洞/kd.png,0,2,2,1.3
level_0096.pt,mine17_8.map,勇士之心,普通(normal),417,13,15,8,18,90,0,0,0.52381,1.0,res/wall/矿洞/mine.ogg,res/wall/矿洞/kd.png,0,2,2,1.3
level_0097.pt,mine18_8.map,大小不一,普通(normal),418,13,15,4,8,117,0,0,0.40293,1.0,res/wall/矿洞/mine.ogg,res/wall/矿洞/kd.png,0,2,2,1.3
level_0098.pt,mine19_8.map,矿洞007,普通(normal),419,13,15,8,3,68,0,0,0.693277,1.0,res/wall/矿洞/mine.ogg,res/wall/矿洞/kd.png,0,2,2,1.3
level_0099.pt,mine20_4.map,矿洞20,普通(normal),420,13,15,4,20,88,0,0,0.535714,1.0,res/wall/矿洞/mine.ogg,res/wall/矿洞/kd.png,0,2,2,1.3
level_0100.pt,mine21_8.map,惊险矿洞,普通(normal),421,13,15,8,21,104,0,0,0.453297,1.0,res/wall/矿洞/mine.ogg,res/wall/矿洞/kd.png,0,2,2,1.3
level_0101.pt,mine22_4.map,极速夺宝(无变身),普通(normal),422,13,15,4,0,102,0,0,0.462185,1.0,res/wall/矿洞/mine.ogg,res/wall/矿洞/kd.png,0,2,2,1.3
level_0102.pt,mine23_8.map,寻宝奇兵,普通(normal),423,13,15,8,8,117,0,0,0.40293,1.0,res/wall/矿洞/mine.ogg,res/wall/矿洞/kd.png,0,2,2,1.3
level_0103.pt,mine24_8.map,寻宝系列之08(你发),普通(normal),424,13,15,8,22,113,0,0,0.417193,1.0,res/wall/矿洞/mine.ogg,res/wall/矿洞/kd.png,0,2,2,1.3
level_0104.pt,mine25_4.map,十字架,普通(normal),425,13,15,4,10,92,0,0,0.512422,1.0,res/wall/矿洞/mine.ogg,res/wall/矿洞/kd.png,0,2,2,1.3
level_0105.pt,mine26_8.map,只为寻宝,普通(normal),426,13,15,8,9,86,0,0,0.548173,1.0,res/wall/矿洞/mine.ogg,res/wall/矿洞/kd.png,0,2,2,1.3
level_0106.pt,pig01_4.map,功夫01,普通(normal),901,13,15,4,35,55,2,18,0.857143,1.0,res/wall/功夫/match.ogg,res/wall/功夫/gf.PNG,0,2,2,1.3
level_0107.pt,pig02_6.map,功夫02,普通(normal),902,13,15,6,44,80,1,12,0.589286,1.0,res/wall/功夫/match.ogg,res/wall/功夫/gf.PNG,0,2,2,1.3
level_0108.pt,pig03_8.map,功夫03,普通(normal),903,13,15,8,31,71,2,17,0.663984,1.0,res/wall/功夫/match.ogg,res/wall/功夫/gf.PNG,0,2,2,1.3
level_0109.pt,pig04_8.map,功夫04,普通(normal),904,13,15,8,42,122,2,44,0.386417,1.0,res/wall/功夫/match.ogg,res/wall/功夫/gf.PNG,0,2,2,1.3
level_0110.pt,pig05_8.map,功夫05(道具场),普通(normal),912,13,15,8,32,65,1,0,0.725275,1.0,res/wall/功夫/match.ogg,res/wall/功夫/gf.PNG,0,2,2,1.3
level_0111.pt,pig06_8.map,功夫06,普通(normal),906,13,15,8,50,95,0,78,0.496241,1.0,res/wall/功夫/match.ogg,res/wall/功夫/gf.PNG,0,2,2,1.3
level_0112.pt,pig07_8.map,功夫07,普通(normal),907,13,15,8,73,78,3,63,0.604396,1.0,res/wall/功夫/match.ogg,res/wall/功夫/gf.PNG,0,2,2,1.3
level_0113.pt,pig08_8.map,功夫08,普通(normal),908,13,15,8,89,82,0,66,0.574913,1.0,res/wall/功夫/match.ogg,res/wall/功夫/gf.PNG,0,2,2,1.3
level_0114.pt,pig09_8.map,功夫09,普通(normal),909,13,15,8,87,73,3,34,0.645793,1.0,res/wall/功夫/match.ogg,res/wall/功夫/gf.PNG,0,2,2,1.3
level_0115.pt,pig10_8.map,功夫10,普通(normal),910,13,15,8,7,95,8,95,0.496241,1.0,res/wall/功夫/match.ogg,res/wall/功夫/gf.PNG,0,2,2,1.3
level_0116.pt,pig11_8.map,猪笼寨攻防战,普通(normal),911,13,15,8,38,59,2,59,0.799031,1.0,res/wall/功夫/match.ogg,res/wall/功夫/gf.PNG,0,2,2,1.3
level_0117.pt,pig12_8.map,心心相连,普通(normal),913,13,15,8,1,100,0,26,0.471429,1.0,res/wall/功夫/match.ogg,res/wall/功夫/gf.PNG,0,2,2,1.3
level_0118.pt,pig13_8.map,真功夫,普通(normal),914,13,15,8,22,52,0,16,0.906593,1.0,res/wall/功夫/match.ogg,res/wall/功夫/gf.PNG,0,2,2,1.3
level_0119.pt,pig14_6.map,奇幻,普通(normal),915,13,15,6,4,113,0,22,0.417193,1.0,res/wall/功夫/match.ogg,res/wall/功夫/gf.PNG,0,2,2,1.3
level_0120.pt,pig15_8.map,谁主沉浮,普通(normal),916,13,15,8,4,140,0,14,0.336735,1.0,res/wall/功夫/match.ogg,res/wall/功夫/gf.PNG,0,2,2,1.3
level_0121.pt,pig16_4.map,双斧猪笼寨,普通(normal),917,13,15,4,16,88,4,29,0.535714,1.0,res/wall/功夫/match.ogg,res/wall/功夫/gf.PNG,0,2,2,1.3
level_0122.pt,pig17_8.map,中国功夫,普通(normal),918,13,15,8,24,88,1,70,0.535714,1.0,res/wall/功夫/match.ogg,res/wall/功夫/gf.PNG,0,2,2,1.3
level_0123.pt,pig18_4.map,卡 BOSS,普通(normal),919,13,15,4,32,69,2,46,0.68323,1.0,res/wall/功夫/match.ogg,res/wall/功夫/gf.PNG,0,2,2,1.3
level_0124.pt,pig20_8.map,家族训练图,普通(normal),920,13,15,8,10,117,0,41,0.40293,1.0,res/wall/功夫/match.ogg,res/wall/功夫/gf.PNG,0,2,2,1.3
level_0125.pt,pig21_4.map,各家有井,普通(normal),921,13,15,4,10,71,0,24,0.663984,1.0,res/wall/功夫/match.ogg,res/wall/功夫/gf.PNG,0,2,2,1.3
level_0126.pt,pig22_4.map,功夫养猪户,普通(normal),922,13,15,4,28,98,2,44,0.48105,1.0,res/wall/功夫/match.ogg,res/wall/功夫/gf.PNG,0,2,2,1.3
level_0127.pt,pig23_8.map,如来神掌,普通(normal),923,13,15,8,44,80,0,54,0.589286,1.0,res/wall/功夫/match.ogg,res/wall/功夫/gf.PNG,0,2,2,1.3
level_0128.pt,snow01_4.map,雪地01,普通(normal),501,13,15,4,56,66,0,22,0.714286,1.0,res/wall/雪地/snow.ogg,res/wall/雪地/xd.png,0,2,2,1.3
level_0129.pt,snow02_6.map,雪地02,普通(normal),502,13,15,6,59,70,0,41,0.673469,1.0,res/wall/雪地/snow.ogg,res/wall/雪地/xd.png,0,2,2,1.3
level_0130.pt,snow03_8.map,雪地03,普通(normal),503,13,15,8,69,78,0,15,0.604396,1.0,res/wall/雪地/snow.ogg,res/wall/雪地/xd.png,0,2,2,1.3
level_0131.pt,snow04_8.map,雪地04,普通(normal),504,13,15,8,56,86,0,23,0.548173,1.0,res/wall/雪地/snow.ogg,res/wall/雪地/xd.png,0,2,2,1.3
level_0132.pt,snow05_8.map,雪地05,普通(normal),505,13,15,8,49,80,0,20,0.589286,1.0,res/wall/雪地/snow.ogg,res/wall/雪地/xd.png,0,2,2,1.3
level_0133.pt,snow06_8.map,雪地06,普通(normal),506,13,15,8,34,85,0,12,0.554622,1.0,res/wall/雪地/snow.ogg,res/wall/雪地/xd.png,0,2,2,1.3
level_0134.pt,snow07_8.map,雪地07,普通(normal),507,13,15,8,48,83,0,46,0.567986,1.0,res/wall/雪地/snow.ogg,res/wall/雪地/xd.png,0,2,2,1.3
level_0135.pt,snow08_8.map,雪地08(道具场),普通(normal),519,13,15,8,0,134,0,89,0.351812,1.0,res/wall/雪地/snow.ogg,res/wall/雪地/xd.png,0,2,2,1.3
level_0136.pt,snow09_8.map,雪地09,普通(normal),509,13,15,8,44,115,0,50,0.409938,1.0,res/wall/雪地/snow.ogg,res/wall/雪地/xd.png,0,2,2,1.3
level_0137.pt,snow10_8.map,雪地10,普通(normal),510,13,15,8,29,86,0,38,0.548173,1.0,res/wall/雪地/snow.ogg,res/wall/雪地/xd.png,0,2,2,1.3
level_0138.pt,snow11_8.map,雪中小屋,普通(normal),511,13,15,8,9,85,0,85,0.554622,1.0,res/wall/雪地/snow.ogg,res/wall/雪地/xd.png,0,2,2,1.3
level_0139.pt,snow12_8.map,雪地12,普通(normal),512,13,15,8,12,64,0,47,0.736607,1.0,res/wall/雪地/snow.ogg,res/wall/雪地/xd.png,0,2,2,1.3
level_0140.pt,snow13_8.map,美丽雪花,普通(normal),513,13,15,8,5,58,0,38,0.812808,1.0,res/wall/雪地/snow.ogg,res/wall/雪地/xd.png,0,2,2,1.3
level_0141.pt,snow14_8.map,冰天雪地,普通(normal),514,13,15,8,44,101,0,15,0.466761,1.0,res/wall/雪地/snow.ogg,res/wall/雪地/xd.png,0,2,2,1.3
level_0142.pt,snow15_8.map,独守一树,普通(normal),515,13,15,8,13,100,0,24,0.471429,1.0,res/wall/雪地/snow.ogg,res/wall/雪地/xd.png,0,2,2,1.3
level_0143.pt,snow16_8.map,雪地001,普通(normal),516,13,15,4,13,98,0,16,0.48105,1.0,res/wall/雪地/snow.ogg,res/wall/雪地/xd.png,0,2,2,1.3
level_0144.pt,snow17_8.map,雪人群,普通(normal),517,13,15,8,28,75,0,59,0.628571,1.0,res/wall/雪地/snow.ogg,res/wall/雪地/xd.png,0,2,2,1.3
level_0145.pt,snow18_8.map,雪之小区,普通(normal),518,13,15,8,50,97,0,33,0.486009,1.0,res/wall/雪地/snow.ogg,res/wall/雪地/xd.png,0,2,2,1.3
level_0146.pt,snow19_8.map,冰雪世界,普通(normal),520,13,15,8,16,84,0,56,0.561224,1.0,res/wall/雪地/snow.ogg,res/wall/雪地/xd.png,0,2,2,1.3
level_0147.pt,snow20_8.map,雪地20,普通(normal),521,13,15,8,15,102,0,102,0.462185,1.0,res/wall/雪地/snow.ogg,res/wall/雪地/xd.png,0,2,2,1.3
